kelime_id	paragraf_id	sıra	Osmanlıca_biçim	diplomatik_biçim	normalleştirilmiş_biçim	lemma	kaynak_dil	Arapça_kök	vezin	Türkçe_ek_çözümlemesi	temel_anlam	bağlam_anlamı	kaynak_id	doğrulama_durumu	not
KEL-YZ-0001	PAR-YZ-0001	1	يعقوب	Yaʿkûb	Yakup	Yaʿkûb	İbrânî özel ad				Yakup	Yakup peygamber	KAY-0001	Ön okuma	Kök-vezin uygulanmadı.
KEL-YZ-0002	PAR-YZ-0001	2	عليه السلام	ʿaleyhi’s-selâm	aleyhisselâm	aleyhi’s-selâm	Arapça kalıp				selâm onun üzerine olsun	peygamberlerden sonra kullanılan dua	KAY-0001	Ön okuma	Kalıplaşmış ifade; bileşenleri gerekirse ayrı kaydedilebilir.
KEL-YZ-0003	PAR-YZ-0001	3	ارض	arz	arz	arz	Arapça	أ ر ض / ʾ-r-ḍ	faʿl		yer, toprak, ülke	Kenan ülkesi/toprağı	KAY-0001	Kontrol gerekli	
KEL-YZ-0004	PAR-YZ-0001	4	كنعان	Kenʿân	Kenan	Kenʿân	Sami özel ad				Kenan	yer adı	KAY-0001	Ön okuma	Kök-vezin uygulanmadı.
KEL-YZ-0005	PAR-YZ-0001	5	محله	mahalle	mahalle	mahal	Arapça + Türkçe ek	ح ل ل / ḥ-l-l	mafʿal	mahal + yönelme -e	yer	denilen yere	KAY-0001	Kontrol gerekli	Bugünkü 'mahalle' isimleşmiş biçimiyle karıştırılmamalı.
KEL-YZ-0006	PAR-YZ-0001	6	زمان	zamân	zaman	zamân	Arapça	ز م ن / z-m-n	faʿâl		vakit	-diği zaman	KAY-0001	Kontrol gerekli	
KEL-YZ-0007	PAR-YZ-0001	7	زوجه سندن	zevcesinden	zevcesinden	zevce	Arapça + Türkçe ek	ز و ج / z-w-j	faʿle	zevce + iyelik -si + ayrılma -nden	eş	eşinden	KAY-0001	Kontrol gerekli	
KEL-YZ-0008	PAR-YZ-0001	8	صوڭ	soŋ	son	son	Türkçe				son	son eşinden	KAY-0002	Kullanıcı doğruladı	Sağır kef (ڭ) nazal n değerindedir; -ki eki yoktur.
KEL-YZ-0009	PAR-YZ-0001	9	اولاده	evlâda	evlada	evlâd	Arapça + Türkçe ek	و ل د / w-l-d	efʿâl	evlâd + yönelme -a	çocuklar, evlatlar	erkek çocuklara/evlatlara	KAY-0001	Kontrol gerekli	veled kelimesinin kırık çoğulu.
KEL-YZ-0010	PAR-YZ-0001	10	مالك	mâlik	malik	mâlik	Arapça	م ل ك / m-l-k	fâʿil		sahip	sahip idi	KAY-0001	Kontrol gerekli	
